record_id,date,warehouse_id,warehouse_name,region,city,warehouse_type,monthly_demand,monthly_supply,current_inventory,safety_stock,reorder_point,lead_time_days,lead_time_variability,order_volume,fulfillment_rate,stockout_incidents,overstock_quantity,warehouse_capacity,capacity_utilization,inventory_turnover,historical_demand_variance,seasonal_demand_index,supplier_reliability,transit_delay_days,sku_count,regional_consumption_momentum,inventory_imbalance_risk,year,month,quarter,is_festive_quarter,demand_to_supply_ratio,dsr_equilibrium_deviation,lead_time_variability_index,stockout_severity_frequency_score,warehouse_capacity_utilization,safety_stock_coverage_ratio,inventory_days_of_supply,demand_volatility_index,supply_gap_ratio,reorder_gap,excess_inventory_ratio,shortage_gap_units,transit_risk_index,cluster_name
REC-2023-01-WH-01,2023-01,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,70290.87,65613.51,114669.17,11426.51,69767.93,24.9,2.88,3034.0,0.984,0,27761.48,215875,0.521,7.36,66897376.57,0.919,0.889,0.5,1125,0.08,Overstock,2023,1,1,0,1.0713,0.0713,0.1157,0.0,0.5312,10.035,48.94,0.1164,0.0665,44901.24,0.1286,0.0,0.666,Cluster 0 — Balanced Operational Flow
REC-2023-02-WH-01,2023-02,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,96985.89,96499.57,114182.85,11844.86,88787.0,23.8,2.14,4058.0,0.953,0,7628.56,215875,0.519,10.19,106387664.69,0.941,0.858,0.6,1125,0.096,Overstock,2023,2,1,0,1.005,0.005,0.0899,0.0,0.5289,9.64,35.32,0.1063,0.005,25395.85,0.0353,0.0,0.856,Cluster 0 — Balanced Operational Flow
REC-2023-03-WH-01,2023-03,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,94047.29,95994.42,116129.98,16133.77,91371.6,24.0,2.98,3213.0,0.983,0,557.72,215875,0.528,9.72,142223147.8025,1.01,0.883,0.1,1125,0.103,Overstock,2023,3,1,0,0.9797,-0.0203,0.1242,0.0,0.538,7.198,37.04,0.1268,-0.0207,24758.38,0.0026,0.0,0.135,Cluster 0 — Balanced Operational Flow
REC-2023-04-WH-01,2023-04,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,100274.13,100853.26,116709.11,17207.04,90407.15,21.9,2.96,2863.0,0.965,0,491.4,215875,0.53,10.31,142223147.8025,1.144,0.87,5.1,1125,-0.026,Overstock,2023,4,2,0,0.9943,-0.0057,0.1352,0.0,0.5406,6.783,34.92,0.1189,-0.0058,26301.96,0.0023,0.0,7.089,Cluster 0 — Balanced Operational Flow
REC-2023-05-WH-01,2023-05,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,109790.68,101997.75,108916.18,17723.55,91496.42374999999,22.7,2.84,3136.0,0.992,0,0.0,215875,0.495,12.1,142223147.8025,1.159,0.766,2.1,1125,0.025,Overstock,2023,5,2,0,1.0764,0.0764,0.1251,0.0,0.5045,6.145,29.76,0.1086,0.071,17419.76,0.0,0.0,3.574,Cluster 0 — Balanced Operational Flow
REC-2023-06-WH-01,2023-06,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,102924.0,108723.67,114715.85,15208.11,91496.42374999999,23.2,2.53,3323.0,0.976,0,0.0,215875,0.521,10.77,142223147.8025,1.016,0.834,1.5,1125,0.003,Overstock,2023,6,2,0,0.9467,-0.0533,0.1091,0.0,0.5314,7.543,33.44,0.1159,-0.0563,23219.43,0.0,0.0,2.247,Cluster 0 — Balanced Operational Flow
REC-2023-07-WH-01,2023-07,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,88623.91,93762.16,119854.1,12409.41,79172.76,22.6,2.36,3639.0,0.996,0,22067.23,215875,0.545,8.87,142223147.8025,0.868,0.845,0.7,1125,0.152,Overstock,2023,7,3,0,0.9452,-0.0548,0.1044,0.0,0.5552,9.658,40.57,0.1346,-0.058,40681.34,0.1022,0.0,1.026,Cluster 0 — Balanced Operational Flow
REC-2023-08-WH-01,2023-08,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,94465.25,94071.69,119460.54,12918.78,85971.91,23.2,2.21,3816.0,0.982,0,14110.46,215875,0.543,9.49,25790272.76,0.972,0.826,0.4,1125,0.015,Overstock,2023,8,3,0,1.0042,0.0042,0.0953,0.0,0.5534,9.247,37.94,0.0538,0.0042,33488.63,0.0654,0.0,0.609,Cluster 0 — Balanced Operational Flow
REC-2023-09-WH-01,2023-09,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,105796.26,100456.02,114120.3,13763.05,91496.42374999999,24.2,2.11,3788.0,0.96,0,0.0,215875,0.519,11.12,142223147.8025,1.077,0.898,1.7,1125,0.082,Overstock,2023,9,3,0,1.0532,0.0532,0.0872,0.0,0.5286,8.292,32.36,0.1127,0.0505,22623.88,0.0,0.0,2.22,Cluster 0 — Balanced Operational Flow
REC-2023-10-WH-01,2023-10,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,124125.97625,124331.64749999999,111319.92,20746.28,91496.42374999999,22.6,2.54,4324.875,0.951,0,0.0,215875,0.506,15.37,142223147.8025,1.31,0.826,0.3,1125,0.234,Overstock,2023,10,4,1,0.9983,-0.0017,0.1124,0.0,0.5157,5.366,26.9,0.0961,-0.0017,19823.5,0.0,0.0,0.457,Cluster 0 — Balanced Operational Flow
