warehouse_id,warehouse_name,region,city,warehouse_type,warehouse_capacity,monthly_demand_avg,monthly_demand_std,monthly_supply_avg,current_inventory_avg,current_inventory_std,safety_stock_avg,lead_time_days_avg,lead_time_variability_avg,fulfillment_rate_avg,stockout_incidents_avg,stockout_incidents_sum,overstock_quantity_avg,capacity_utilization_avg,inventory_turnover_avg,supplier_reliability_avg,transit_delay_days_avg,sku_count,regional_consumption_momentum_avg,demand_to_supply_ratio_avg,cluster_id,pca_x,pca_y,cluster_name
WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,215875,104232.18588541668,15669.839108554917,104528.70156249999,113272.16208333334,3584.6239891429236,15305.510833333334,23.041666666666668,2.450833333333333,0.9772500000000001,0.0,0,6066.44125,0.5148333333333334,11.389583333333334,0.8578749999999999,1.0625,1125,0.09629166666666666,0.9971633085205214,0,-0.659,2.213,Cluster 0 — Balanced Operational Flow
WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,95000,49092.92208333333,8037.916937914774,33904.20583333333,1110.0154166666666,2509.871863320272,23148.381354166664,15.475,8.599583333333333,0.7255833333333334,6.666666666666667,160,0.0,0.011625000000000002,25.0,0.8362916666666665,2.5083333333333333,540,0.10508333333333335,1.4479891469708759,1,3.468,1.228,Cluster 1 — High-Velocity Shortage Risk
WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,45000,17026.752916666668,3509.77943256253,16977.829583333332,20627.335000000003,771.4419422602468,2707.0241666666666,6.704166666666667,2.860416666666667,0.9758749999999999,0.0,0,10013.552916666666,0.4583333333333333,9.9325,0.8906666666666667,0.9791666666666666,145,0.103,1.0028816011548003,0,-1.121,-1.277,Cluster 0 — Balanced Operational Flow
WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,85000,34791.081666666665,7103.651423418235,35325.059583333335,46307.44416666666,5159.057149843082,5173.274166666667,11.325000000000001,2.63,0.9725,0.0,0,20275.740416666667,0.5446666666666667,9.05625,0.9227083333333334,1.0875000000000001,416,0.10325000000000001,0.9848838778203051,0,-1.405,-0.516,Cluster 0 — Balanced Operational Flow
WH-05,Depot North-2 — Ludhiana Express,North,Ludhiana,Urban Depot,40000,17938.015,2777.7281508174037,10866.7125,879.1104166666668,2339.637308773342,9113.65625,9.4375,9.25,0.6525416666666667,6.833333333333333,164,0.0,0.021875000000000002,24.67625,0.733,2.80625,111,0.1135,1.6507306142497098,1,4.067,-0.933,Cluster 1 — High-Velocity Shortage Risk
WH-06,Hub North-3 — Jaipur Logistics Park,North,Jaipur,Regional DC,110000,55139.5725,9572.615008488154,54528.4975,34963.31166666667,7416.481562855782,7706.169999999999,8.729166666666666,2.4720833333333334,0.973,0.0,0,4628.048333333333,0.31787499999999996,19.382083333333334,0.8976666666666667,0.9708333333333333,421,0.11779166666666667,1.0112065255419884,0,-0.574,0.165,Cluster 0 — Balanced Operational Flow
WH-07,Depot North-4 — Jodhpur Transit,North,Jodhpur,Urban Depot,35000,12681.642083333332,2399.300152698481,12524.896666666667,17884.50375,1185.7165022294487,2423.21125,6.379166666666666,3.4279166666666665,0.97025,0.0,0,9140.56875,0.511,8.602500000000001,0.8650000000000001,1.1020833333333333,327,0.10383333333333333,1.0125147073735006,0,-0.965,-1.431,Cluster 0 — Balanced Operational Flow
WH-08,Hub North-5 — Lucknow Central,North,Lucknow,Regional DC,90000,40143.82916666667,6227.98304488206,46104.99875,147490.12041666667,42407.34944693202,5656.52625,15.558333333333335,2.4470833333333335,0.9715416666666666,0.0,0,111074.06854166667,1.63875,3.4758333333333336,0.9580833333333333,0.7333333333333334,687,0.11641666666666667,0.870704484438722,2,-3.042,0.219,Cluster 2 — Chronic Overstock Buffers
WH-09,Depot North-6 — Kanpur Freight Center,North,Kanpur,Urban Depot,48000,17766.673749999998,2956.63191680612,17515.552916666667,20491.047083333335,2424.002859311844,2711.9445833333334,4.233333333333333,2.7475,0.9709583333333334,0.0,0,11181.481249999999,0.42683333333333334,10.614166666666668,0.8910416666666667,1.2583333333333333,148,0.10045833333333333,1.0143370200488722,0,-1.079,-1.252,Cluster 0 — Balanced Operational Flow
WH-10,Depot North-7 — Varanasi Terminal,North,Varanasi,Urban Depot,38000,15889.292916666667,3238.6305922229585,10815.668333333333,368.1745833333334,982.17355148838,4440.975833333333,8.066666666666666,5.080416666666667,0.7142083333333332,7.041666666666667,169,0.0,0.009708333333333334,25.0,0.8122916666666667,1.4625000000000001,170,0.09395833333333332,1.469099497781074,1,2.559,-1.313,Cluster 1 — High-Velocity Shortage Risk
WH-11,Facility North-8 — Agra Express,North,Agra,Urban Depot,42000,19593.69125,3306.639053840822,22824.315000000002,75905.86541666667,23399.33040876652,3011.494166666667,3.9333333333333336,2.7783333333333338,0.9735416666666666,0.0,0,65799.27625,1.8072083333333333,3.36125,0.9417083333333333,1.0,149,0.11016666666666668,0.8584569241179855,2,-2.801,-0.77,Cluster 2 — Chronic Overstock Buffers
WH-12,Depot North-9 — Dehradun Valley,North,Dehradun,Urban Depot,32000,12177.959583333335,1916.2786213103575,14070.952083333332,45270.56625,12983.534903245327,1334.5616666666667,4.7875000000000005,1.9479166666666667,0.9801666666666667,0.0,0,39963.765,1.4146666666666665,3.4375,0.9394583333333334,0.7333333333333334,189,0.10425000000000001,0.8654680586793984,2,-2.626,-1.262,Cluster 2 — Chronic Overstock Buffers
WH-13,Depot North-10 — Amritsar Border Hub,North,Amritsar,Urban Depot,36000,14239.780833333332,2047.2326393343276,14241.56875,17974.591666666667,829.2549359812583,2736.0729166666665,9.983333333333333,3.4470833333333335,0.9735833333333334,0.0,0,6396.174166666667,0.4992083333333333,9.535416666666666,0.9150416666666666,0.9958333333333332,181,0.105,0.9998744578846577,0,-1.157,-1.382,Cluster 0 — Balanced Operational Flow
WH-14,Facility North-11 — Ghaziabad Depot,North,Ghaziabad,Regional DC,78000,37769.56208333333,6375.831134441443,43533.06791666667,136577.56458333333,40542.90172618629,5101.390416666666,13.383333333333333,2.370833333333333,0.9769166666666665,0.0,0,106133.45114583334,1.7510000000000001,3.5766666666666667,0.9227916666666666,1.0625,604,0.10262500000000001,0.867606256366628,2,-2.934,0.101,Cluster 2 — Chronic Overstock Buffers
WH-15,Hub West-Central — Mumbai Port Mega,West,Mumbai,Mega Hub,215875,105683.61322916667,14133.384487438414,104443.19979166666,106157.39041666668,8599.313890834028,21477.794583333332,14.529166666666667,3.46625,0.975375,0.0,0,9407.0775,0.42483333333333334,12.758333333333333,0.8691249999999999,1.5562500000000001,703,0.15283333333333335,1.0118764403998946,0,-0.253,2.813,Cluster 0 — Balanced Operational Flow
WH-16,Depot West-1 — Bhiwandi Logistics Hub,West,Bhiwandi,Mega Hub,210000,96074.87953125,16179.076321269535,57573.31916666666,2114.745,5271.240201291632,30020.1271875,22.974999999999998,6.037916666666667,0.6319166666666667,6.791666666666667,163,0.0,0.010041666666666666,25.0,0.7274583333333333,1.7125000000000001,855,0.13799999999999998,1.6687396335987983,1,4.288,3.219,Cluster 1 — High-Velocity Shortage Risk
WH-17,Depot West-2 — Navi Mumbai Metro,West,Navi Mumbai,Urban Depot,55000,27311.914166666666,5500.164868347065,31465.283333333336,96895.23833333333,28218.914653395255,2483.6545833333334,9.025,1.5512500000000002,0.9742083333333333,0.0,0,82442.24041666667,1.7618749999999999,3.6174999999999997,0.9357916666666667,0.4583333333333333,302,0.12616666666666668,0.8680015329063724,2,-3.048,-0.506,Cluster 2 — Chronic Overstock Buffers
