record_id,date,warehouse_id,warehouse_name,region,city,warehouse_type,monthly_demand,monthly_supply,current_inventory,safety_stock,reorder_point,lead_time_days,lead_time_variability,order_volume,fulfillment_rate,stockout_incidents,overstock_quantity,warehouse_capacity,capacity_utilization,inventory_turnover,historical_demand_variance,seasonal_demand_index,supplier_reliability,transit_delay_days,sku_count,regional_consumption_momentum,inventory_imbalance_risk
REC-2023-01-WH-01,2023-01,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,70290.87,65613.51,114669.17,11426.51,69767.93,24.9,2.88,3034,0.984,0,27761.48,220000,0.521,7.36,66897376.57,0.919,0.889,0.5,1125,0.08,Overstock
REC-2023-02-WH-01,2023-02,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,96985.89,96499.57,114182.85,11844.86,88787.0,23.8,2.14,4058,0.953,0,7628.56,220000,0.519,10.19,106387664.69,0.941,0.858,0.6,1125,0.096,Overstock
REC-2023-03-WH-01,2023-03,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,94047.29,95994.42,116129.98,16133.77,91371.6,24.0,2.98,3213,0.983,0,557.72,220000,0.528,9.72,225230094.88,1.01,0.883,0.1,1125,0.103,Overstock
REC-2023-04-WH-01,2023-04,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,100274.13,100853.26,116709.11,17207.04,90407.15,21.9,2.96,2863,0.965,0,491.4,220000,0.53,10.31,288332803.22,1.144,0.87,5.1,1125,-0.026,Overstock
REC-2023-05-WH-01,2023-05,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,109790.68,101997.75,108916.18,17723.55,100798.5,22.7,2.84,3136,0.992,0,0.0,220000,0.495,12.1,308014577.87,1.159,0.766,2.1,1125,0.025,Overstock
REC-2023-06-WH-01,2023-06,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,102924.0,108723.67,114715.85,15208.11,94802.67,23.2,2.53,3323,0.976,0,0.0,220000,0.521,10.77,146608917.86,1.016,0.834,1.5,1125,0.003,Overstock
REC-2023-07-WH-01,2023-07,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,88623.91,93762.16,119854.1,12409.41,79172.76,22.6,2.36,3639,0.996,0,22067.23,220000,0.545,8.87,154958448.08,0.868,0.845,0.7,1125,0.152,Overstock
REC-2023-08-WH-01,2023-08,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,94465.25,94071.69,119460.54,12918.78,85971.91,23.2,2.21,3816,0.982,0,14110.46,220000,0.543,9.49,25790272.76,0.972,0.826,0.4,1125,0.015,Overstock
REC-2023-09-WH-01,2023-09,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,105796.26,100456.02,114120.3,13763.05,99105.37,24.2,2.11,3788,0.96,0,0.0,220000,0.519,11.12,503468518.33,1.077,0.898,1.7,1125,0.082,Overstock
REC-2023-10-WH-01,2023-10,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,142625.39,139825.01,111319.92,20746.28,128190.74,22.6,2.54,5253,0.951,0,0.0,220000,0.506,15.37,496634100.66,1.31,0.826,0.3,1125,0.234,Overstock
